model_id,rmse,mse,mae,rmsle,mean_residual_deviance,training_time_ms,predict_time_per_row_ms
GBM_5_AutoML_1_20260724_105920,141.44985085643685,20008.06030730823,108.88990042910514,0.1686294794637929,20008.06030730823,308,0.011548
GBM_2_AutoML_1_20260724_105920,141.8325254764819,20116.465283036887,109.30064412890194,0.1689623960459015,20116.465283036887,385,0.012884
DeepLearning_1_AutoML_1_20260724_105920,142.0896752470181,20189.475811803073,109.06220609741892,0.1698940389392894,20189.475811803073,1205,0.00159
GBM_1_AutoML_1_20260724_105920,142.37222315346747,20269.849925660743,109.64225502918268,0.16929475395525,20269.849925660743,1284,0.015177
GBM_grid_1_AutoML_1_20260724_105920_model_1,142.41302546465897,20281.469821997605,109.76577291559472,0.169486324018705,20281.469821997605,337,0.011861
GBM_3_AutoML_1_20260724_105920,143.07563092721705,20470.63616522123,110.1271296619446,0.1702188060439589,20470.63616522123,401,0.015211
GBM_grid_1_AutoML_1_20260724_105920_model_5,143.22673125433596,20513.896545801777,110.4945578003758,0.1703369398270434,20513.896545801777,398,0.014746
DeepLearning_grid_1_AutoML_1_20260724_105920_model_1,143.64937647662433,20635.143362122948,110.65871865539172,0.1704475298155356,20635.143362122948,15563,0.002497
GBM_4_AutoML_1_20260724_105920,144.19830616058135,20793.151499580752,111.09963741931266,0.1710508413866079,20793.151499580752,547,0.01664
DRF_1_AutoML_1_20260724_105920,145.61283552807464,21203.09787052612,112.44026551811768,0.1714692768748445,21203.09787052612,4856,0.030265
GBM_grid_1_AutoML_1_20260724_105920_model_4,146.03062150639144,21324.942417542952,112.82794324007942,0.1729454916305227,21324.942417542952,839,0.024696
GBM_grid_1_AutoML_1_20260724_105920_model_2,146.3972936318813,21432.167582739276,112.95747200106776,0.1727397810682977,21432.167582739276,788,0.013516
GLM_1_AutoML_1_20260724_105920,148.55178819990311,22067.633777388877,114.3958016070924,0.1756800307226239,22067.633777388877,123,0.000187
XRT_1_AutoML_1_20260724_105920,150.6122883570944,22684.06140416055,116.65841524613369,0.1769259277261108,22684.06140416055,4496,0.03193
GBM_grid_1_AutoML_1_20260724_105920_model_3,152.36573359828785,23215.316774944426,118.30512578391117,0.1788370041055178,23215.316774944426,1054,0.022734
