model_id,rmse,mse,mae,rmsle,mean_residual_deviance,training_time_ms,predict_time_per_row_ms
GBM_grid_1_AutoML_1_20260724_110441_model_1,186.562954246063,34805.7358970186,144.54348329352766,0.2159351352471785,34805.7358970186,185,0.00704
GBM_1_AutoML_1_20260724_110441,187.133601459711,35018.98479528195,145.20866182725663,0.2165290791100853,35018.98479528195,585,0.012852
GBM_2_AutoML_1_20260724_110441,187.15459989929963,35026.84426346692,145.2181503795167,0.2165370475590082,35026.84426346692,312,0.01016
GBM_5_AutoML_1_20260724_110441,187.3671426789943,35106.44615569061,145.45006206788673,0.2168372478545115,35106.44615569061,225,0.009933
GBM_3_AutoML_1_20260724_110441,187.3852441261253,35113.22971620756,145.39346041915547,0.2165540400536788,35113.22971620756,189,0.010293
DeepLearning_grid_2_AutoML_1_20260724_110441_model_1,187.4320852160107,35130.7865684219,145.35696370141002,0.2163369445350937,35130.7865684219,12413,0.001207
GBM_grid_1_AutoML_1_20260724_110441_model_5,187.78478897865136,35263.12697175662,145.5433870034843,0.2172463719420571,35263.12697175662,196,0.008823
DeepLearning_1_AutoML_1_20260724_110441,188.03676313096392,35357.82428877023,146.22359456967126,0.2173628785292693,35357.82428877023,484,0.00098
DeepLearning_grid_1_AutoML_1_20260724_110441_model_1,188.5636941248441,35556.26674200776,146.58791327271328,0.2172286198590264,35556.26674200776,14660,0.000613
GBM_4_AutoML_1_20260724_110441,188.913162577063,35688.18299486783,146.81049360321578,0.2181098040649324,35688.18299486783,209,0.009696
GBM_grid_1_AutoML_1_20260724_110441_model_2,189.3830507875136,35865.93992558595,146.51768733688607,0.2184525854205056,35865.93992558595,227,0.009106
XRT_1_AutoML_1_20260724_110441,189.49747459028808,35909.29287609688,147.1078759575192,0.2188821140594419,35909.29287609688,1142,0.016862
DeepLearning_grid_1_AutoML_1_20260724_110441_model_2,190.21998092390984,36183.64114269262,147.3836564596413,0.2216371888740892,36183.64114269262,26417,0.001354
GBM_grid_1_AutoML_1_20260724_110441_model_4,190.61368901306815,36333.578439170655,148.12670817473162,0.2194661687993604,36333.578439170655,385,0.01189
GBM_grid_1_AutoML_1_20260724_110441_model_3,195.50933289545245,38223.89924922484,152.88458679641602,0.2254767156724793,38223.89924922484,583,0.016449
DRF_1_AutoML_1_20260724_110441,204.47471606647127,41809.90951046405,157.8975535117515,0.2322018271789008,41809.90951046405,1178,0.017265
GLM_1_AutoML_1_20260724_110441,207.1550401823656,42913.210672957495,163.3355717337429,0.2360539784585211,42913.210672957495,82,0.000151
