variable,relative_importance,scaled_importance,percentage
gender,3607085312.0,1.0,0.4882060509905725
weight,1460743936.0,0.4049651753842411,0.19770644906304496
experience,581540544.0,0.16122173270073187,0.07870942545568195
height,497538496.0,0.13793366470839932,0.06734004974594535
schedule,364115072.0,0.10094440261467262,0.049281668170111745
background,257540320.0,0.07139845546297964,0.03485715798840756
age,243523392.0,0.0675125124404044,0.03296001709098174
howlong,185487232.0,0.05142302328778411,0.025105031129325325
region,130489896.0,0.036175993832440856,0.017661339089595256
eat,60384396.0,0.016740495657009843,0.008172811276333606
