Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Light Gradient Boosting Machine,108.5072,19769.5342,140.5851,0.7418,0.1682,0.167,0.698
Gradient Boosting Regressor,109.9985,20215.8568,142.1606,0.736,0.1697,0.1677,0.9
Random Forest Regressor,113.1928,21423.7472,146.3572,0.7202,0.1733,0.1711,4.214
Bayesian Ridge,114.2057,21905.488,147.9803,0.714,0.1754,0.1717,0.17
Ridge Regression,114.2171,21910.368,147.997,0.7139,0.1754,0.1717,0.864
Linear Regression,114.2227,21913.0154,148.006,0.7139,0.1754,0.1717,3.892
Least Angle Regression,114.4329,22010.0513,148.3338,0.7126,0.176,0.172,0.188
Lasso Least Angle Regression,114.6681,22083.5191,148.5809,0.7116,0.1759,0.1721,0.158
Lasso Regression,114.6681,22083.5115,148.5809,0.7116,0.1759,0.1721,0.894
Extra Trees Regressor,115.5106,22187.4887,148.9405,0.7103,0.1761,0.1736,2.952
AdaBoost Regressor,134.3321,29328.2161,171.2215,0.617,0.1969,0.191,0.718
Elastic Net,136.1496,30443.0033,174.4614,0.6025,0.2043,0.1987,1.624
Orthogonal Matching Pursuit,148.625,35980.926,189.6757,0.5301,0.2201,0.2119,0.274
Huber Regressor,145.8751,36721.9311,191.5286,0.5205,0.2292,0.2114,0.578
K Neighbors Regressor,149.6989,36852.1523,191.9604,0.5187,0.2215,0.2135,0.388
Decision Tree Regressor,160.2384,43019.4656,207.3999,0.4382,0.2621,0.2212,0.396
Passive Aggressive Regressor,194.5646,59518.5104,240.1813,0.2226,0.2736,0.2494,0.242
Dummy Regressor,229.0586,76586.4203,276.7413,-0.0001,0.3121,0.3137,0.104
