Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Gradient Boosting Regressor,145.1685,34844.8067,186.6511,0.545,0.2164,0.2087,0.208
Light Gradient Boosting Machine,145.4902,35180.2431,187.5467,0.5406,0.2169,0.2088,0.408
AdaBoost Regressor,160.9441,41044.6629,202.5932,0.464,0.2297,0.2209,0.106
K Neighbors Regressor,158.6127,41882.2602,204.6463,0.453,0.2328,0.2225,0.014
Linear Regression,162.8695,42673.1281,206.5541,0.4427,0.2351,0.2278,1.514
Ridge Regression,162.8695,42673.1305,206.5541,0.4427,0.2351,0.2278,0.45
Least Angle Regression,162.8695,42673.1305,206.5541,0.4427,0.2351,0.2278,0.45
Bayesian Ridge,162.8655,42673.1766,206.5543,0.4427,0.2351,0.2278,0.008
Lasso Least Angle Regression,162.8632,42673.2656,206.5545,0.4427,0.2351,0.2278,0.008
Lasso Regression,162.8633,42673.2641,206.5545,0.4427,0.2351,0.2278,0.454
Elastic Net,162.8227,42677.1859,206.564,0.4427,0.2352,0.2279,0.008
Huber Regressor,161.8623,43066.9201,207.5011,0.4376,0.2351,0.2264,0.034
Random Forest Regressor,162.7764,44335.8903,210.5443,0.421,0.2375,0.2218,0.494
Orthogonal Matching Pursuit,170.9428,46900.3852,216.5489,0.3875,0.2446,0.2355,0.008
Extra Trees Regressor,172.7027,50360.2882,224.3879,0.3424,0.2596,0.2305,0.364
Decision Tree Regressor,191.9545,62175.4389,249.3459,0.1881,0.2891,0.2509,0.016
Dummy Regressor,229.0586,76586.4203,276.7413,-0.0001,0.3121,0.3137,0.008
Passive Aggressive Regressor,263.5949,107582.2602,313.7516,-0.408,0.3566,0.3064,0.012
